MSGID,SYMBOL,ENUMNAME,FACILITY,OWNER,CATEGORY,SEVERITY,STATUS,SRC
15,SET_MESSAGE_PROOF_USAGE_TEXT,SetMessageProofUsageText,COMMAND:SET,COMMAND:SET,USAGE,INFO,ACTIVE,src/help/helpdata_messages.cpp
16,SET_MESSAGE_EMIT_USAGE_TEXT,SetMessageEmitUsageText,COMMAND:SET,COMMAND:SET,USAGE,INFO,ACTIVE,src/help/helpdata_messages.cpp
17,MSGMGR_USAGE_TEXT,MsgMgrUsageText,COMMAND:MSGMGR,COMMAND:MSGMGR,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
18,MSGMGR_STATUS_TITLE,MsgMgrStatusTitle,COMMAND:MSGMGR,COMMAND:MSGMGR,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
19,MSGMGR_STATUS_BODY_TEXT,MsgMgrStatusBodyText,COMMAND:MSGMGR,COMMAND:MSGMGR,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
20,DISPLAY_USAGE_TEXT,DisplayUsageText,COMMAND:DISPLAY,COMMAND:DISPLAY,USAGE,INFO,ACTIVE,src/help/helpdata_messages.cpp
21,USE_USAGE_TEXT,UseUsageText,COMMAND:USE,COMMAND:USE,USAGE,INFO,ACTIVE,src/help/helpdata_messages.cpp
22,GO_USAGE_TEXT,GoUsageText,COMMAND:GO,COMMAND:GO,USAGE,INFO,ACTIVE,src/help/helpdata_messages.cpp
23,GOTO_USAGE_TEXT,GotoUsageText,COMMAND:GOTO,COMMAND:GOTO,USAGE,INFO,ACTIVE,src/help/helpdata_messages.cpp
24,SKIP_USAGE_TEXT,SkipUsageText,COMMAND:SKIP,COMMAND:SKIP,USAGE,INFO,ACTIVE,src/help/helpdata_messages.cpp
25,TOP_USAGE_TEXT,TopUsageText,COMMAND:TOP,COMMAND:TOP,USAGE,INFO,ACTIVE,src/help/helpdata_messages.cpp
26,BOTTOM_USAGE_TEXT,BottomUsageText,COMMAND:BOTTOM,COMMAND:BOTTOM,USAGE,INFO,ACTIVE,src/help/helpdata_messages.cpp
27,FIRST_USAGE_TEXT,FirstUsageText,COMMAND:FIRST,COMMAND:FIRST,USAGE,INFO,ACTIVE,src/help/helpdata_messages.cpp
28,LAST_USAGE_TEXT,LastUsageText,COMMAND:LAST,COMMAND:LAST,USAGE,INFO,ACTIVE,src/help/helpdata_messages.cpp
29,NEXT_USAGE_TEXT,NextUsageText,COMMAND:NEXT,COMMAND:NEXT,USAGE,INFO,ACTIVE,src/help/helpdata_messages.cpp
30,PRIOR_USAGE_TEXT,PriorUsageText,COMMAND:PRIOR,COMMAND:PRIOR,USAGE,INFO,ACTIVE,src/help/helpdata_messages.cpp
31,BBOX_MESSAGING_LANE_TEXT,BBoxMessagingLaneText,COMMAND:BBOX,COMMAND:BBOX,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
32,MAINT_BOUNDARY_TEXT,MaintBoundaryText,COMMAND:MAINT,COMMAND:MAINT,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
33,DDICT_USAGE_TEXT,DDictUsageText,COMMAND:DDICT,COMMAND:DDICT,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
34,USE_MISSING_TABLE_NAME_TEXT,UseMissingTableNameText,COMMAND:USE,COMMAND:USE,ERROR,ERROR,ACTIVE,src/help/helpdata_messages.cpp
35,USE_ALREADY_OPEN_CURRENT_AREA_TEXT,UseAlreadyOpenCurrentAreaText,COMMAND:USE,COMMAND:USE,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
36,USE_ALREADY_OPEN_OTHER_AREA_TEXT,UseAlreadyOpenOtherAreaText,COMMAND:USE,COMMAND:USE,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
37,USE_OPEN_FAILED_WITH_REASON_TEXT,UseOpenFailedWithReasonText,COMMAND:USE,COMMAND:USE,ERROR,ERROR,ACTIVE,src/help/helpdata_messages.cpp
38,USE_OPEN_FAILED_TEXT,UseOpenFailedText,COMMAND:USE,COMMAND:USE,ERROR,ERROR,ACTIVE,src/help/helpdata_messages.cpp
39,USE_MEMO_ATTACH_FAILED_TEXT,UseMemoAttachFailedText,COMMAND:USE,COMMAND:USE,ERROR,ERROR,ACTIVE,src/help/helpdata_messages.cpp
40,USE_OPENED_SUMMARY_TEXT,UseOpenedSummaryText,COMMAND:USE,COMMAND:USE,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
41,USE_VALID_INDEXES_LINE_TEXT,UseValidIndexesLineText,COMMAND:USE,COMMAND:USE,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
42,USE_NOINDEX_SKIPPED_TEXT,UseNoIndexSkippedText,COMMAND:USE,COMMAND:USE,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
43,USE_AUTO_ATTACHED_ORDER_TAG_UNIQUE_TEXT,UseAutoAttachedOrderTagUniqueText,COMMAND:USE,COMMAND:USE,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
44,USE_AUTO_ATTACHED_ORDER_TAG_TEXT,UseAutoAttachedOrderTagText,COMMAND:USE,COMMAND:USE,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
45,USE_AUTO_ATTACHED_ORDER_TEXT,UseAutoAttachedOrderText,COMMAND:USE,COMMAND:USE,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
46,NAV_NO_FILE_OPEN_TEXT,NavNoFileOpenText,SUBSYSTEM:NAV,SUBSYSTEM:NAV,ERROR,ERROR,ACTIVE,src/help/helpdata_messages.cpp
47,NAV_READ_CURRENT_FAILED_TEXT,NavReadCurrentFailedText,SUBSYSTEM:NAV,SUBSYSTEM:NAV,ERROR,ERROR,ACTIVE,src/help/helpdata_messages.cpp
48,NAV_AT_TOP_TEXT,NavAtTopText,SUBSYSTEM:NAV,SUBSYSTEM:NAV,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
49,NAV_AT_END_TEXT,NavAtEndText,SUBSYSTEM:NAV,SUBSYSTEM:NAV,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
50,NAV_FAILED_TEXT,NavFailedText,SUBSYSTEM:NAV,SUBSYSTEM:NAV,ERROR,ERROR,ACTIVE,src/help/helpdata_messages.cpp
51,NAV_RECNO_LINE,NavRecnoLine,SUBSYSTEM:NAV,SUBSYSTEM:NAV,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
52,NO_OPEN_TABLE,NoOpenTable,SUBSYSTEM:DBAREA,SUBSYSTEM:DBAREA,ERROR,ERROR,ACTIVE,src/help/helpdata_messages.cpp
53,GO_EXPECTED_POSITIVE_RECORD_NUMBER_TEXT,GoExpectedPositiveRecordNumberText,COMMAND:GO,COMMAND:GO,ERROR,ERROR,ACTIVE,src/help/helpdata_messages.cpp
54,GO_AREA_QUALIFIER_NOT_SUPPORTED_YET_TEXT,GoAreaQualifierNotSupportedYetText,COMMAND:GO,COMMAND:GO,ERROR,ERROR,ACTIVE,src/help/helpdata_messages.cpp
55,GO_UNRECOGNIZED_COMMAND_FORM_TEXT,GoUnrecognizedCommandFormText,COMMAND:GO,COMMAND:GO,ERROR,ERROR,ACTIVE,src/help/helpdata_messages.cpp
56,HELP_HINT_COMMAND,HelpHintCommand,GLOBAL,GLOBAL,HINT,INFO,ACTIVE,src/help/helpdata_messages.cpp
57,MESSAGE_ROUTING_PROOF_LINE,MessageRoutingProofLine,SUBSYSTEM:MESSAGING,SUBSYSTEM:MESSAGING,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
58,MESSAGE_LOCALE_SET,MessageLocaleSet,SUBSYSTEM:MESSAGING,SUBSYSTEM:MESSAGING,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
59,SET_MESSAGE_CATALOG_VALIDATION_GREEN_LABEL,SetMessageCatalogValidationGreenLabel,COMMAND:SET,COMMAND:SET,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
60,SET_MESSAGE_CATALOG_VALIDATION_ISSUES_FOUND_LABEL,SetMessageCatalogValidationIssuesFoundLabel,COMMAND:SET,COMMAND:SET,STATUS,WARNING,ACTIVE,src/help/helpdata_messages.cpp
61,SET_MESSAGE_CATALOG_VALIDATION_STATUS_TEXT,SetMessageCatalogValidationStatusText,COMMAND:SET,COMMAND:SET,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
62,SET_LANGUAGE_STATUS_TEXT,SetLanguageStatusText,COMMAND:SET,COMMAND:SET,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
63,SET_MESSAGE_CATALOG_PROVIDER_STATUS_TEXT,SetMessageCatalogProviderStatusText,COMMAND:SET,COMMAND:SET,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
64,SET_LANGUAGE_ACTIVE_MESSAGE_EMISSION_TEXT,SetLanguageActiveMessageEmissionText,COMMAND:SET,COMMAND:SET,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
65,SET_LANGUAGE_ACTIVE_CATALOG_CHECK_TEXT,SetLanguageActiveCatalogCheckText,COMMAND:SET,COMMAND:SET,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
66,SET_MESSAGE_EMIT_STATUS_TEXT,SetMessageEmitStatusText,COMMAND:SET,COMMAND:SET,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
67,SET_MESSAGE_CATALOG_REPORT_HEADER_TEXT,SetMessageCatalogReportHeaderText,COMMAND:SET,COMMAND:SET,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
68,SET_MESSAGE_CATALOG_REPORT_LOCALE_FILTER_LINE,SetMessageCatalogReportLocaleFilterLine,COMMAND:SET,COMMAND:SET,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
69,SET_MESSAGE_CATALOG_REPORT_SYSTEM_MESSAGES_TITLE,SetMessageCatalogReportSystemMessagesTitle,COMMAND:SET,COMMAND:SET,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
70,SET_MESSAGE_CATALOG_REPORT_MESSAGE_ROW,SetMessageCatalogReportMessageRow,COMMAND:SET,COMMAND:SET,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
71,SET_MESSAGE_CATALOG_REPORT_SYSTEM_MESSAGE_TEXT_TITLE,SetMessageCatalogReportSystemMessageTextTitle,COMMAND:SET,COMMAND:SET,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
72,SET_MESSAGE_CATALOG_REPORT_NO_MATCHING_TEXT_ROWS,SetMessageCatalogReportNoMatchingTextRows,COMMAND:SET,COMMAND:SET,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
73,SET_MESSAGE_CATALOG_REPORT_TEXT_ROW,SetMessageCatalogReportTextRow,COMMAND:SET,COMMAND:SET,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
74,SET_MESSAGE_CATALOG_VALIDATION_ISSUE_ROW_TEXT,SetMessageCatalogValidationIssueRowText,COMMAND:SET,COMMAND:SET,STATUS,INFO,ACTIVE,src/help/helpdata_messages.cpp
75,SET_USAGE_TEXT,SetUsageText,COMMAND:SET,COMMAND:SET,USAGE,INFO,ACTIVE,src/help/helpdata_messages.cpp
76,SET_TABLE_BUFFER_USAGE_TEXT,SetTableBufferUsageText,COMMAND:SET TABLE BUFFER,COMMAND:SET TABLE BUFFER,USAGE,INFO,ACTIVE,src/help/helpdata_messages.cpp
77,SET_TABLE_BUFFER_ENGINE_UNAVAILABLE_TEXT,SetTableBufferEngineUnavailableText,COMMAND:SET TABLE BUFFER,COMMAND:SET TABLE BUFFER,ERROR,ERROR,ACTIVE,src/help/helpdata_messages.cpp
